Title,Address,Latitude,Longitude,City,State,Country,"Postal Code",Message,Categories,fax,email,website
"Zion Lutheran Church","1405 E Fallbrook St, Fallbrook, CA, United States",33.3765,-117.23,Fallbrook,,"United States",92028,,churches
"Zion Lutheran-Avilla","300 Avilla E, Alexander, AR, United States",34.6827,-92.5824,Alexander,,"United States",72002,,churches
"Zion Mennonite Church","149 E. Cherry Ln., Souderton, PA, United States",40.3063,-75.3142,Souderton,,"United States",18964,,churches
"Zion Missionary Baptist Church","4842 Dearth Road, Springboro, OH, United States",39.5106,-84.267,Springboro,,"United States",45066,,churches
"Zion Rest Church","2947 50th St, Valley, AL, United States",32.8235,-85.1907,Valley,,"United States",36854,,churches
"Zion Temple Baptist Church","515 Ardella Avenue, Akron, OH, United States",41.0538,-81.4857,Akron,,"United States",44306,,churches
"Zion Temple First Pentecostal Church","3771 Reading Rd, Cincinnati, OH, United States",39.1521,-84.4851,Cincinnati,,"United States",45229,,churches
"Zion United Baptist Church","1300 Parrish Ave, Hamilton, OH, United States",39.383,-84.5424,Hamilton,,"United States",45011,,churches
"Zion United Methodist Church","242 Kings Hwy, Clarksboro, NJ, United States",39.8033,-75.2197,Clarksboro,,"United States",8020,,churches
"Zion's Light Baptist Church","1148 E Highway 333, St Joe, AR, United States",36.0002,-92.7633,"St Joe",,"United States",72675,,"churches,da contattare,in contatto",12345678,sample@example.data,http://www.sample.data
"Zoar Baptist Church","1009 Marion Pike, Ironton, OH, United States",38.4992,-82.6284,Ironton,,"United States",45638,,"churches,attivati,scomparsi,rimbalzi",1235689,sample@example.data,http://www.example.data
