ID,Title,Address,Latitude,Longitude,City,State,Country,"Postal Code",Message,Categories
3,PARMATECH-LGV,"Via A. Battioni, 23 - San Michele Tiorre, 43030 Parma, Italy",44.6834701,10.26711279999995,,,,,"<p>PARMATECH-LGV </p>\n<p>Via A. Battioni 23 - 43030 San Michele Tiorre (PR) </p>\n<p>Telefono: 0521.336443</p>\n<p>Fax:	0521.336443</p>\n<p>Mobile: </p>\n<p>Mail: <a href=""mailto:info@parmatech.it"">info@parmatech.it</a> </p>\n","Emilia Romagna"
4,"SPAZIO MOTO SNC ","Viale Amendola, 45 - b, Castel San Giovanni, 29015 Piacenza, Italy",45.0571498,9.438127799999961,,,,,"<p>SPAZIO MOTO SNC </p>\n<p>V.le Amendola 45/b - 29015 Castel S. Giovanni (PC)</p>\n<p>Telefono: 0523.882296</p>\n<p>Fax:	0523.882296</p>\n<p>Mobile:</p>\n<p>Mail: <a href=\"mailto:fastrider1@virgilio.it\">fastrider1@virgilio.it</a></p>\n","Emilia Romagna"
7,"F.LLI BACCANELLI ","Saletto 20 - 25040 Berzo Demo, BS, Italy",46.08671529999999,10.338452599999982,,,,,"<p>F.LLI BACCANELLI </p>\n<p>Saletto 20 - 25040 Berzo Demo (BR)</p>\n<p>Telefono: 0364.630577</p>\n<p>Fax:	0364.61839</p>\n<p>Mobile:</p>\n<p>Mail: <a href=\"mailto:info@fllibaccanelli.it\">info@fllibaccanelli.it</a></p>\n ",Lombardia
8,"SILVIO MOTO","Via Isola, 34 - Malegno, 25053 Brescia, Italy",45.95465859999999,10.28237009999998,,,,,"<p>SILVIO MOTO </p>\n<p>Via Isola 34 - 25053 Malegno, (BR)</p>\n<p>Telefono: 0364.344563</p>\n<p>Fax:	0364.344563</p>\n<p>Mobile:</p>\n<p>Mail: <a href=""mailto:teamsilviomoto@gmail.com"">teamsilviomoto@gmail.com</a></p>\n",Lombardia
10,MOTO-SHOP,"Via Pietro Nenni, 3 - Mantova, Mantua, Lombardia, Italy",45.1459176,10.778213300000061,,,,,"<p>MOTO-SHOP </p>\n<p>Via Pietro Nenni 3 - 46100 Mantova</p>\n<p>Telefono: 0376.369475</p>\n<p>Fax:	0376.369475	</p>\n<p>Mobile: 339.2363751</p>\n<p>Mail: <a href=""mailto:motoshop1961@gmail.com"">motoshop1961@gmail.com</a></p>\n",Lombardia
11,"MOTO &amp; SPORT SAS","Viale Fulvio Testi, 12 - Milan, 20125 Metropolitan City of Milan, Italy",45.5028677,9.199070000000006,,,,,"<p>MOTO & SPORT SAS</p>\n<p>Viale Fulvio Testi 12 - 20125  Milano</p>\n<p>Telefono: 02.66801001</p>\n<p>Fax:	02.60856336</p>\n<p>Mobile:</p>\n<p>Mail: <a href=\"mailto:moto_e_sport@tiscali.it\">moto_e_sport@tiscali.it</a></p>\n",Lombardia
12,"BASILICO GIANCARLO","Via Zara, 35 - Meda, 20821 Monza and Brianza, Italy",45.667998,9.165569000000005,,,,,"<p>BASILICO GIANCARLO</p>\n<p>Via Zara 35 - 20821 Meda (MB)</p>\n<p>Telefono: 0362.70433</p>\n<p>Fax:	0362.1546016</p>\n<p>Mobile:<br>\n<p>Mail: <a href=\"mailto:basilico_kymco@alice.it\">basilico_kymco@alice.it</a></p>\n",Lombardia
13,"ELLEMOTO s.n.c.","Via Marco Polo, 2 - Giussano, 20833 Monza and Brianza, Italy",45.70456,9.215574999999944,,,,,"<p>ELLEMOTO s.n.c.</p>\n<p>Via Marco Polo 2 - 20833 Giussano (MB) </p>\n<p>Telefono: 0362.851624</p>\n<p>Fax:	0362.851624</p>\n<p>Mobile: </p>\n<p>Mail: <a href=\"mailto:info@ellemoto.it\">info@ellemoto.it</a></p>\n",Lombardia
14,"PERONI MOTO S.N.C.","Via Roma, 185 - Grosio, 23033 Sondrio, Italy",46.3022119,10.28178790000004,,,,,"<p>PERONI MOTO S.N.C. </p>\n<p>Via Roma 185 - 23033 Grosio (SO) </p>\n<p>Telefono: 0342.847322</p>\n<p>Fax:	0342.849189  </p>\n<p>Mobile: </p>\n<p>Mail: <a href=\"mailto:peronimoto@tiscali.it\">peronimoto@tiscali.it</a> </p>\n",Lombardia
15,"BATTAGLIA MARIO","Via Piave, 51 - Lonate Ceppino, 21050 Varese, Italy",45.7064536,8.882831799999963,,,,,"<p>BATTAGLIA MARIO</p>\n<p>Via Piave 51 - 21050 Lonate Ceppino (VA)</p>\n<p>Telefono: 0331.841832</p>\n<p>Fax:	0331.41832</p>\n<p>Mobile: </p>\n<p>Mail: <a href=\"mailto:motomari@tiscali.it\">motomari@tiscali.it</a> </p>\n",Lombardia
16,"CERIANI MOTO S.R.L.","Via Buon Gesu', 33 - Castellanza, 21053 Varese, Italy",45.6146459,8.880405200000041,,,,,"<p>CERIANI MOTO S.R.L.</p>\n<p>Via Buon Gesù 33 - 21053 Castellanza (VA)</p>\n<p>Telefono: 0331.679450	</p>\n<p>Fax:	0331.678325</p>\n<p>Mobile:</p>\n<p>Mail: <a href=\"mailto:motonuove@cerianimoto.it\">motonuove@cerianimoto.it</a></p>\n",Lombardia
17,"PLANET BIKE SNC","Via Torino, 667 - Mercallo, 21020 Varese, Italy",45.7414997,8.676877699999977,,,,,"<p>PLANET BIKE SNC </p>\n<p>Via Torino 667 - 21020 Mercallo (VA) </p>\n<p>Telefono: 0331.978186 </p>\n<p>Fax:	</p>\n<p>Mobile: </p>\n<p>Mail: <a href=""mailto:planetbik@gmail.com"">planetbik@gmail.com</a> </p>\n",Lombardia
